course_id,title,category,skills_covered,url,duration_hours,difficulty
1,Advanced React Patterns,Frontend,"react, javascript, hooks, state management",https://www.youtube.com/results?search_query=Advanced+React+Patterns+course+tutorial,10,Advanced
2,Mastering Node.js and Express,Backend,"node.js, express, api, backend",https://www.youtube.com/results?search_query=Mastering+Node.js+and+Express+course+tutorial,3,Advanced
3,System Design Interview Prep,Architecture,"system design, scalable architecture, scaling",https://www.youtube.com/results?search_query=System+Design+Interview+Prep+course+tutorial,3,Intermediate
4,AWS Certified Solutions Architect,Cloud,"aws, cloud, architecture, ec2, s3",https://www.youtube.com/results?search_query=AWS+Certified+Solutions+Architect+course+tutorial,6,Beginner
5,Docker for Beginners,DevOps,"docker, containers, devops",https://www.youtube.com/results?search_query=Docker+for+Beginners+course+tutorial,2,Intermediate
6,Kubernetes from Scratch,DevOps,"kubernetes, k8s, devops, orchestration",https://www.youtube.com/results?search_query=Kubernetes+from+Scratch+course+tutorial,4,Intermediate
7,GraphQL API Development,Backend,"graphql, api, apollo, backend",https://www.youtube.com/results?search_query=GraphQL+API+Development+course+tutorial,10,Advanced
8,Python Data Science crash course,Data,"python, data science, pandas, analytics",https://www.youtube.com/results?search_query=Python+Data+Science+crash+course+course+tutorial,7,Beginner
9,Go (Golang) Microservices,Backend,"go, golang, microservices, backend",https://www.youtube.com/results?search_query=Go+%28Golang%29+Microservices+course+tutorial,4,Advanced
10,TypeScript Foundations,Frontend,"typescript, javascript, types, frontend",https://www.youtube.com/results?search_query=TypeScript+Foundations+course+tutorial,10,Advanced
11,React Native for Mobile Apps,Mobile,"react native, mobile, ios, android, react",https://www.youtube.com/results?search_query=React+Native+for+Mobile+Apps+course+tutorial,4,Intermediate
12,MongoDB Aggregations,Database,"mongodb, nosql, databases, aggregations",https://www.youtube.com/results?search_query=MongoDB+Aggregations+course+tutorial,11,Advanced
13,PostgreSQL Advanced Queries,Database,"postgresql, sql, databases, relational",https://www.youtube.com/results?search_query=PostgreSQL+Advanced+Queries+course+tutorial,3,Intermediate
14,Next.js Ultimate Guide,Frontend,"next.js, react, ssr, ssg, frontend",https://www.youtube.com/results?search_query=Next.js+Ultimate+Guide+course+tutorial,12,Intermediate
15,Tailwind CSS in Depth,Frontend,"tailwind, css, styling, ui, frontend",https://www.youtube.com/results?search_query=Tailwind+CSS+in+Depth+course+tutorial,6,Intermediate
16,Figma to Code UI Design,Design,"figma, design, ui, ux, html, css",https://www.youtube.com/results?search_query=Figma+to+Code+UI+Design+course+tutorial,6,Intermediate
17,Serverless Architecture (AWS Lambda),Cloud,"serverless, aws lambda, cloud",https://www.youtube.com/results?search_query=Serverless+Architecture+%28AWS+Lambda%29+course+tutorial,2,Advanced
18,CI/CD with GitHub Actions,DevOps,"ci/cd, github actions, devops, deployment",https://www.youtube.com/results?search_query=CI%2FCD+with+GitHub+Actions+course+tutorial,5,Advanced
19,Web Accessibility (a11y) Masterclass,Frontend,"accessibility, a11y, frontend, html",https://www.youtube.com/results?search_query=Web+Accessibility+%28a11y%29+Masterclass+course+tutorial,8,Intermediate
20,Web Performance Optimization,Frontend,"performance, lighthouse, optimization, frontend",https://www.youtube.com/results?search_query=Web+Performance+Optimization+course+tutorial,5,Advanced
21,Machine Learning for Product Engineers,AI,"python, machine learning, model deployment, mlops",https://www.youtube.com/results?search_query=Machine+Learning+for+Product+Engineers+course+tutorial,9,Intermediate
22,LangChain and RAG Applications,AI,"llm, rag, langchain, vector database",https://www.youtube.com/results?search_query=LangChain+and+RAG+Applications+course+tutorial,8,Advanced
23,Redis Caching Strategies,Backend,"redis, caching, backend, performance",https://www.youtube.com/results?search_query=Redis+Caching+Strategies+course+tutorial,4,Intermediate
24,Kafka Event-Driven Systems,Backend,"kafka, streaming, event driven architecture",https://www.youtube.com/results?search_query=Kafka+Event-Driven+Systems+course+tutorial,7,Advanced
25,Practical SQL for Analytics,Data,"sql, analytics, dashboards, data modeling",https://www.youtube.com/results?search_query=Practical+SQL+for+Analytics+course+tutorial,5,Beginner
26,Terraform Infrastructure as Code,DevOps,"terraform, infrastructure, cloud, devops",https://www.youtube.com/results?search_query=Terraform+Infrastructure+as+Code+course+tutorial,6,Intermediate
27,Secure API Development,Security,"api security, oauth, jwt, backend",https://www.youtube.com/results?search_query=Secure+API+Development+course+tutorial,5,Advanced
28,React Testing with Jest and RTL,Frontend,"react, testing, jest, rtl",https://www.youtube.com/results?search_query=React+Testing+with+Jest+and+RTL+course+tutorial,4,Intermediate
29,Designing Data Pipelines,Data,"airflow, etl, pipelines, data engineering",https://www.youtube.com/results?search_query=Designing+Data+Pipelines+course+tutorial,7,Advanced
30,Micro Frontends in Production,Frontend,"micro frontend, webpack, frontend architecture",https://www.youtube.com/results?search_query=Micro+Frontends+in+Production+course+tutorial,6,Advanced
